key,author,date,stars,title,helpful_yes,helpful_no,text,taste,ingredients,texture,likes
0_hd,wyatt,2017-04-10,5,one of the best ice creams on the planet.,27,0,"if this flavor is ever retired, i swear -- my lifespan might shorten by a few years. it features a perfect, not-overly-sweet, creamy base that captures the essence of cocoa butter. juxtapose that base with the just-tart-enough raspberry coulis ribbon and the bittersweet fudge truffles, and guess what -- a trifecta! i buy pints of this flavor like water; it keeps me alive. when i taste other ice creams, i often use this flavor as the benchmark to which i compare them: how does that flavor compare to WCRT? the balance in this flavor profile and/or texture variation is rarely, if ever, matched.",5.0,5.0,5.0,
0_hd,Savvisyd,2019-03-05,5,Literally the best of the best,10,0,I am an ice cream addict and this flavour has blown everything out of the water. No other ice cream of any brand or flavour holds a candle to it. It has made my previous favourites taste mediocre and lack lustre. My partner and I are absolutely bonkers about it and would love to have an easier time finding it in grocery stores or convenience stores. A couple months ago it was all over and now it has become really challenging to find it and we are devastated. We just had to share our last tub instead of having one each!,5.0,5.0,5.0,
0_hd,,2016-08-25,5,,0,0,"I don't know what I expected when I first tasted this ice cream. It was a flavor that I wasn't very familiar with. When I took my first bite, my reaction was: ""wow"". It is very delicious, but very strong. The raspberry flavor is perfectly tart and overpowers the white chocolate. I did not realize that there would be chocolate truffle pieces, I guess I should have paid more attention to the packaging, but it complimented the raspberry flavor very well. This ice cream is exquisite. It is something I would eat when I wanted to feel fancy. It is quite good and rich in flavor. I would recommend it to anyone who is looking for a sweet treat! [This review was collected as part of a promotion.]",,,,
0_hd,Angie85,2017-08-18,5,Spectacular flavors,4,0,"This flavor is sloop good, I eat about 2 a day sometimes 3. I picked this flavor up at a store and I thought I'd never find it. I went back for more and there was no more. I went to about 15 other stores and no luck. Then, I went to the supermarket across from my house and there it was!!!!!..... my daughter cried for me because she knew how upset I was that I couldn't find and white chocolate raspberry truffle. It was right under my nose. Keep up the good work haagan daz.!!!!!!

Sincerely, your #1 fan",5.0,5.0,5.0,
0_hd,Katie B,2019-03-11,5,Best flavor,8,0,Best flavor ever! However I can never find this in any grocery store anymore.,5.0,5.0,5.0,
0_hd,TaTa,2017-09-13,5,Heavenly,5,0,"I am obsessed with the ""White Chocolate Raspberry Truffle"", it is bar none better than any other ice cream I have ever had. The sweetness of the white chocolate highlights the decadent truffle chunks and the subtle tart flavor of the raspberry ribbon is a flavor explosion. I hope they never discontinue this flavor, I would cry.",5.0,5.0,5.0,
0_hd,Mo Dollarss,2019-06-10,5,The Best Ice Cream Flavor EVER!!!!!,5,0,The day Haagen Dazs discontinue the White Chocolate Raspberry Tuffle. The day they gonn lose a customer. So please. Don’t even think about it.,5.0,5.0,5.0,
0_hd,Kellz,2020-05-13,5,Yummy,0,0,This is the best icecream I've tasted i can eat it every day and never grow tired of it.,5.0,5.0,5.0,"Perfectly Balanced Flavor,Indulgent"
0_hd,littleservices,2018-07-02,5,great flavor...,2,0,"Oh My Goodness. I almost needed a cigarette after eating this. Yes, It IS that good.",5.0,5.0,5.0,
0_hd,,2016-09-17,5,,0,0,"the flavor of this icecream is amazing, I thought that it would be vanilla but after trying for the first time I could taste right away the white chocolate ice cream. the richness of the icecream and the chocolate is just delicious and tasty. Not only is white chocolate but also has chuncks of chocolately fudge truffles, and a raspberry ribbon. I was delight to taste white chocolate along with raspberry and the chuncks of chocolate, the flavor is just delicious, and would highly recommend the product [This review was collected as part of a promotion.]",,,,
