key,author,date,stars,title,helpful_yes,helpful_no,text
0_talenti,amys,2018-06-22,5,Mango Madness,12.0,0.0,"Y’all! I’m sick as a dog!!! For reals! Temp of over 101. Begged my mom to get me some talenti because it’s my new favorite again. Anyways I told her to get something non-dairy for my throat so it wouldn’t get all yucky. She brings me this flavor.
O.M.G. THIS IS SO GOOD!!!!!
Ok, I have a cold so everything tastes bland so this shouldn’t be all that great right? No. This tastes like the actual mango, but like better than the actual mango!!!
Seriously! Every flavor I try is my new favorite!! I 100% recommend this and all the other flavors! Talenti is the best. Oh! And there’s always a treat at the end. You can reuse the container. These guys are the best!!"
0_talenti,Hesskr,2017-10-29,5,Mangos Mashed Up,21.0,0.0,"This is seriously like eating fresh mangoes smashed up and put into a container. Many other surveys on the market remind me to much of ice cream and have a creaminess to them. Some people enjoy this, however I prefer a sorbet to taste just like fresh fruit. The ingredients in this could not be more direct. Mangoes, sugar, water, dextrose And lemon juice. At first I did not think I would like the tartness from the lemon juice. However it gives just a bit of lemon flavor, Which almost accentuates the mangoes. This is by far our favorite!"
0_talenti,kookie,2018-09-20,5,Surprised by the flavor,6.0,0.0,"When I first tried this sorbetto (the first thing I ever tried from Talenti), I wasn't expecting much. I was thinking it would probably taste like the other mango sorbets that I had tried, enough flavor to know that it was mango but not much else. Then, I had my first spoonful. To me, it tasted as though someone had pureed and frozen a mango and put it in the container. It was delicious. The flavor was so intense. I've convinced several other family members to try it since then, and they've agreed with me. We've all become Talenti converts thanks to this mango sorbetto."
0_talenti,mike99999,2017-09-25,1,"dont need limon, just distorting the mango flavor",21.0,45.0,"ice cream, do not need limon, just distorting the mango flavor"
0_talenti,JaiCandy,2016-06-23,5,AMAZING,18.0,0.0,"Really taste like you're eating a chilled mango. It is one of my new favorite flavors. It is on the sweeter side though. Would love to see it with less sugar, so you can really taste the mango more. Otherwise its amazing!"
0_talenti,SR Horsemanship,2017-09-25,5,Absolutely delicious!,26.0,1.0,"Perfect just the way it is.
I LOVE IT! New favorite."
0_talenti,Nikole,2020-05-10,5,Delicious,0.0,0.0,This is like eating a frozen puréed mango. It’s so good. Probably one of my favorites other than the cold brew coffee.
0_talenti,,2018-12-06,5,Reminds of home !,3.0,0.0,"I born in the place where alphanso mangoes are grown and entire life spent on divine taste of these mangoes. Missed them after shifting to US. Tried to find it and it was costing $40 per piece. Yes, they are actually that precious. These mangoes are royal gift from India’s president to all head of states and loved by them. We keep security guards for those precious trees. This shorbotto is offers just 10% taste of actual taste of authentic Alphonso. Still happy to have at least bit of flavor to kill homesickness. Love Alphanso !"
0_talenti,CaPhi,2019-10-09,5,My Guilty Pleasure,1.0,0.0,"I have to hide this from my teen daughter or it would be gone!! The first time I tried this, I couldn’t believe it! It is like fresh frozen mango! And the joy of it being dairy-free.. gluten-free was almost too good to be true! I am not a dessert person.. I do not have a sweet tooth.. but sometimes I just need a little something and this is it!!"
0_talenti,Kiki,2017-09-25,5,BEST IN THE WORLD...,3.0,3.0,Alphonso Mango is the best sorbetto you've guys ever made!!! I eat 1 or 2 pints everyday....and I can't get enough of it!!! Thank you so much... You guys r the BEST!!!
